,e1,e2,intensity
PDF<->RELA,PDF,RELA,0.9086730972759169
CAT<->TAT,CAT,TAT,0.9082450838174592
AR<->EMB,AR,EMB,0.9035856473205205
AFM<->BLM,AFM,BLM,0.9035644539550498
ACT<->ER,ACT,ER,0.9029483450856427
MAF<->PDC,MAF,PDC,0.9024121031925922
ERG<->PDF,ERG,PDF,0.9012611623406116
EBP<->REN,EBP,REN,0.89962946976938
INA<->STAR,INA,STAR,0.8988425446421344
EBP<->NRF,EBP,NRF,0.8987453652582282
MAX<->NET,MAX,NET,0.8982881082212602
DF<->TH,DF,TH,0.8973062362348185
ADO<->PRO,ADO,PRO,0.8946611906909058
PROC<->STAR,PROC,STAR,0.8937353296412178
BAK<->TYR,BAK,TYR,0.8926788704493918
LDLR<->PC,LDLR,PC,0.8892403219002436
LDLR<->ZA,LDLR,ZA,0.8891680366182911
TH<->WHITE,TH,WHITE,0.8864323793591736
CREM<->RIG,CREM,RIG,0.884315791394538
AE<->CEL,AE,CEL,0.8839590157764364
CF<->RIG,CF,RIG,0.8837513287631571
PRO<->TG,PRO,TG,0.8836299184405563
ER<->TG,ER,TG,0.8824280672198763
CEL<->KIT,CEL,KIT,0.8777779129624907
PROC<->REN,PROC,REN,0.8768811901361356
BAD<->CP,BAD,CP,0.8762569650566053
MET<->MUCIN,MET,MUCIN,0.8748656910031606
NRF<->PROC,NRF,PROC,0.8734902707628518
CRH<->DDC,CRH,DDC,0.8734148018182717
PDF<->PTEN,PDF,PTEN,0.8726910697983523
BLM<->GAL,BLM,GAL,0.8719605079345596
EMB<->KERATIN,EMB,KERATIN,0.8716241505214368
EGFR<->EMB,EGFR,EMB,0.8681795513804321
BLM<->MYC,BLM,MYC,0.8681749010522358
PRL<->ZA,PRL,ZA,0.8676393217437371
CAST<->POLI,CAST,POLI,0.8673575897557466
KIT<->MAX,KIT,MAX,0.8671638211319499
ABO<->INA,ABO,INA,0.8665267355850369
CF<->PTEN,CF,PTEN,0.8650786792940771
EMB<->PILOT,EMB,PILOT,0.8644011132955952
PTH<->REN,PTH,REN,0.8643559011528597
GRP<->MCC,GRP,MCC,0.8628118011066632
CREM<->ERG,CREM,ERG,0.8622415969300905
AE<->NET,AE,NET,0.8583608126183507
NRF<->PTH,NRF,PTH,0.8578597489331498
ADO<->CAT,ADO,CAT,0.8566150390176283
BAD<->MVD,BAD,MVD,0.8558823895261773
DF<->WHITE,DF,WHITE,0.8557963707891479
AID<->CP,AID,CP,0.8546859478332426
AFP<->GA,AFP,GA,0.8541297284903735
ACT<->TG,ACT,TG,0.8519047280452337
CF<->CREM,CF,CREM,0.8517909596116294
APC<->POL,APC,POL,0.850638519741192
AE<->AR,AE,AR,0.8466106323629053
DDC<->EGF,DDC,EGF,0.8464117006290035
MET<->MVD,MET,MVD,0.8460615882520875
FH<->INA,FH,INA,0.845664487407767
ASS<->IMPACT,ASS,IMPACT,0.8453472158164793
GAL<->LDLR,GAL,LDLR,0.844033183664791
CF<->RELA,CF,RELA,0.8408469818621045
LDLR<->PRL,LDLR,PRL,0.8406311779734846
MHC<->POL,MHC,POL,0.8365208613225521
IMPACT<->SET,IMPACT,SET,0.8364733043639824
CREM<->PROC,CREM,PROC,0.8345965073462567
AE<->PILOT,AE,PILOT,0.8319421213777022
ASS<->SET,ASS,SET,0.831592805381739
REN<->STAR,REN,STAR,0.8315797490835043
ADO<->TAT,ADO,TAT,0.8296803059221695
BAK<->NRF,BAK,NRF,0.8293190386346563
STAR<->TYR,STAR,TYR,0.8287803149480814
MUT<->PDC,MUT,PDC,0.8280781023743932
CREM<->RELA,CREM,RELA,0.8275323505302857
ABO<->CAST,ABO,CAST,0.8262782208440637
BAD<->MUCIN,BAD,MUCIN,0.8259643467995288
CAT<->PRO,CAT,PRO,0.8253651592534162
KERATIN<->NET,KERATIN,NET,0.8239345920937019
AE<->KERATIN,AE,KERATIN,0.8231590253986291
ET<->MUCIN,ET,MUCIN,0.8230566409470939
ARCH<->INA,ARCH,INA,0.821587565206477
EGFR<->RD,EGFR,RD,0.8203454445465213
BAD<->FAP,BAD,FAP,0.8174601217325911
APC<->MHC,APC,MHC,0.8153376897890773
BAK<->PROC,BAK,PROC,0.8140719741765444
PTER<->REST,PTER,REST,0.8137799295865853
HLA<->MUCIN,HLA,MUCIN,0.8120166076122838
NRF<->STAR,NRF,STAR,0.8109642241768149
LAT<->NET,LAT,NET,0.8098584208978914
NET<->PILOT,NET,PILOT,0.8095028499743425
POL<->TAT,POL,TAT,0.8091838848308686
CAST<->CF,CAST,CF,0.8088593681229763
MUT<->REST,MUT,REST,0.8068713044561495
HD<->HDC,HD,HDC,0.8059986650311844
PDF<->PROC,PDF,PROC,0.8044921647417455
CREM<->PTEN,CREM,PTEN,0.8044694664351375
CF<->PDF,CF,PDF,0.8039455071098875
HDC<->PR,HDC,PR,0.8036600150410568
COIL<->REST,COIL,REST,0.8018393021307542
ARCH<->LPO,ARCH,LPO,0.8013459113654736
CEL<->LAT,CEL,LAT,0.801306121383103
ABO<->CREM,ABO,CREM,0.8010752586187723
COIL<->PTER,COIL,PTER,0.8000786722454684
ARCH<->PTH,ARCH,PTH,0.798515251907968
ALPP<->HDC,ALPP,HDC,0.7984976806689003
ACT<->ADO,ACT,ADO,0.7975638607821738
CAT<->GC,CAT,GC,0.7946938113306237
FAP<->MUCIN,FAP,MUCIN,0.7944428196254714
CP<->MET,CP,MET,0.7911836048670233
CRH<->SA,CRH,SA,0.7908509113650498
AFP<->GC,AFP,GC,0.7901597258014216
PDC<->PTER,PDC,PTER,0.7888629182160449
ET<->FAP,ET,FAP,0.787867050187771
HAL<->S,HAL,S,0.7849971168272707
BAK<->REN,BAK,REN,0.7849596899766472
LAT<->MAX,LAT,MAX,0.7845950079319879
MAX<->PRL,MAX,PRL,0.7826117533467586
GAL<->ZA,GAL,ZA,0.7815979388521117
PRO<->TAT,PRO,TAT,0.7812531468560481
CREM<->STAR,CREM,STAR,0.7807845038522099
ABO<->PROC,ABO,PROC,0.7801825981358386
GAL<->PRL,GAL,PRL,0.7794798645052629
CAT<->ER,CAT,ER,0.7792853373566729
ADO<->TG,ADO,TG,0.7777558116935156
HLA<->PC,HLA,PC,0.7775453311540838
PC<->PRL,PC,PRL,0.7770940381387884
BAK<->PDF,BAK,PDF,0.7767005052426535
AFM<->RHO,AFM,RHO,0.7740506119823058
ET<->MET,ET,MET,0.7739257773347535
REST<->SCT,REST,SCT,0.7737778474688912
ALPP<->FAP,ALPP,FAP,0.7724360198998527
LPO<->TYR,LPO,TYR,0.772330759694655
CAST<->RAN,CAST,RAN,0.7704536100898483
HD<->RD,HD,RD,0.7699323247355658
AR<->RD,AR,RD,0.7697955168916049
AFP<->HAL,AFP,HAL,0.7693977690970278
GA<->GC,GA,GC,0.7687557280923555
APC<->S,APC,S,0.7682312470273402
GTT<->PRL,GTT,PRL,0.7670161189543641
GTT<->HLA,GTT,HLA,0.7667290636552837
LDLR<->RHO,LDLR,RHO,0.7655435256863091
ADO<->GC,ADO,GC,0.7645384930641036
EMB<->RD,EMB,RD,0.7622036306800863
GAL<->PC,GAL,PC,0.762058022786956
EBP<->TYR,EBP,TYR,0.7600108327523666
GAL<->GTT,GAL,GTT,0.7590778567571834
AFP<->S,AFP,S,0.7579818694144079
MHC<->TAT,MHC,TAT,0.7576153106055417
ERG<->POLI,ERG,POLI,0.757547568822126
CEL<->KERATIN,CEL,KERATIN,0.7562670977072433
ABO<->FH,ABO,FH,0.756114893712571
FAP<->MET,FAP,MET,0.7548340674429734
PTER<->SCT,PTER,SCT,0.7540193017995199
LPO<->STAR,LPO,STAR,0.7539003054885874
CEL<->PRL,CEL,PRL,0.7521073654724109
CAST<->CREM,CAST,CREM,0.7512587820131613
GC<->MHC,GC,MHC,0.7496587514790441
APC<->MYC,APC,MYC,0.7483142400817775
BLM<->PC,BLM,PC,0.7467646509293828
CREM<->TYR,CREM,TYR,0.7467628898559361
CAT<->MHC,CAT,MHC,0.7467488172633375
PDF<->TYR,PDF,TYR,0.7465661292871888
ABO<->RAN,ABO,RAN,0.7465315343100883
ER<->TAT,ER,TAT,0.746367100955805
ALPP<->CP,ALPP,CP,0.7426122474903762
MYC<->RHO,MYC,RHO,0.7412586895018477
AR<->NET,AR,NET,0.7411803780734149
CEL<->PILOT,CEL,PILOT,0.7397043772848919
HLA<->ZA,HLA,ZA,0.7375546805603634
BLM<->GTT,BLM,GTT,0.7367761268835193
AID<->MVD,AID,MVD,0.7366699274715732
FAP<->HLA,FAP,HLA,0.7366577985054309
MAX<->PILOT,MAX,PILOT,0.73642946001632
KERATIN<->MAX,KERATIN,MAX,0.7351767260615057
CAT<->TG,CAT,TG,0.7331339126819214
AR<->EGFR,AR,EGFR,0.7316473375462137
POLI<->SI,POLI,SI,0.7296320327363569
AID<->BAD,AID,BAD,0.7293023447179532
AE<->KIT,AE,KIT,0.7290471860786222
GA<->HAL,GA,HAL,0.7279475573105383
EGF<->PDC,EGF,PDC,0.726478112683251
CAT<->POL,CAT,POL,0.725637577032693
ALPP<->PR,ALPP,PR,0.7245159632574124
ET<->PC,ET,PC,0.723687871686436
AID<->MB,AID,MB,0.7228539191181613
BLM<->LDLR,BLM,LDLR,0.7223564761073101
CP<->TH,CP,TH,0.7220474425705831
MHC<->S,MHC,S,0.7217256533655831
MYC<->POL,MYC,POL,0.7203679516080982
MAF<->REST,MAF,REST,0.7202359273536594
INA<->LPO,INA,LPO,0.719523124033727
AID<->WHITE,AID,WHITE,0.7192704729988362
BLM<->ZA,BLM,ZA,0.7190629779302435
BAK<->CREM,BAK,CREM,0.7186406041158522
HGF<->S,HGF,S,0.7180714471797709
ALPP<->TH,ALPP,TH,0.7179500121114746
CRH<->TFAM,CRH,TFAM,0.7156478667101325
INA<->RAN,INA,RAN,0.7148146305120991
AFM<->HGF,AFM,HGF,0.7122877049037397
HAL<->MHC,HAL,MHC,0.7115241579312337
HLA<->MET,HLA,MET,0.711406172934872
ET<->GTT,ET,GTT,0.7091472817323484
LPO<->PROC,LPO,PROC,0.7067961187832487
MET<->S,MET,S,0.7061875846447372
GTT<->RHO,GTT,RHO,0.7049337381688886
PC<->RHO,PC,RHO,0.7035554276911579
AE<->PRL,AE,PRL,0.702725322078707
AR<->MAX,AR,MAX,0.7027218568188606
RHO<->ZA,RHO,ZA,0.7015536624356571
AFM<->GAL,AFM,GAL,0.6996112978515573
AR<->CEL,AR,CEL,0.6991534657647657
ALPP<->BAD,ALPP,BAD,0.6987587116608454
PTH<->TYR,PTH,TYR,0.6977654129952792
PROC<->SI,PROC,SI,0.6976923665931791
HGF<->MHC,HGF,MHC,0.697649928055248
INA<->REN,INA,REN,0.6972127811198813
HGF<->MYC,HGF,MYC,0.6967794706351469
ARCH<->EBP,ARCH,EBP,0.6952854346215088
GC<->HAL,GC,HAL,0.6947216585022004
ACT<->CAT,ACT,CAT,0.6940606767495157
MAF<->VEGF,MAF,VEGF,0.6940481958996286
CP<->FAP,CP,FAP,0.6937715584703025
EGF<->MUT,EGF,MUT,0.6929242140317216
POLI<->RIG,POLI,RIG,0.6916220411184634
FAP<->HDC,FAP,HDC,0.6910930807402614
COIL<->MAF,COIL,MAF,0.6905793821733469
CREM<->POLI,CREM,POLI,0.6902953921817235
FAP<->MVD,FAP,MVD,0.6899697264759084
EMB<->SCT,EMB,SCT,0.6899307963586574
APC<->TAT,APC,TAT,0.6893638730290056
ADO<->MHC,ADO,MHC,0.6889257248491144
ET<->ZA,ET,ZA,0.6882983108633755
POLI<->PTEN,POLI,PTEN,0.6881994787868455
HGF<->POL,HGF,POL,0.687946632609487
AE<->EMB,AE,EMB,0.6867520780067001
ER<->GC,ER,GC,0.6862256240482026
AID<->TH,AID,TH,0.6851980323102196
ALPP<->MVD,ALPP,MVD,0.6851135269002178
BAD<->ET,BAD,ET,0.6845184208870068
GC<->PRO,GC,PRO,0.6838530289973549
AFM<->POL,AFM,POL,0.6838429282173331
PTER<->VEGF,PTER,VEGF,0.6828519501778174
ACT<->TAT,ACT,TAT,0.6827697606633925
AFM<->PC,AFM,PC,0.6822162378267476
BAD<->S,BAD,S,0.6816187312088098
AE<->RD,AE,RD,0.6803463225799247
GC<->TAT,GC,TAT,0.6763397020207249
MUCIN<->PC,MUCIN,PC,0.6752259514400715
PTH<->STAR,PTH,STAR,0.6728833286899578
ABO<->TYR,ABO,TYR,0.6715654785335653
INA<->NRF,INA,NRF,0.6714434927933937
LDLR<->MAX,LDLR,MAX,0.6711042687482499
COIL<->MUT,COIL,MUT,0.670283375175846
ET<->HD,ET,HD,0.669723914354639
INA<->PROC,INA,PROC,0.6687865734746339
PILOT<->RD,PILOT,RD,0.6687583219049887
EBP<->PROC,EBP,PROC,0.66724935015901
TAT<->TG,TAT,TG,0.666203247834677
END<->HR,END,HR,0.6660350647094401
ET<->HDC,ET,HDC,0.6657098788974072
CAST<->SI,CAST,SI,0.6631457978751825
AFP<->MB,AFP,MB,0.6628466340534147
GTT<->MUCIN,GTT,MUCIN,0.6625899337450348
AFM<->GTT,AFM,GTT,0.6620823691471688
NET<->VEGF,NET,VEGF,0.6620159706152448
MUCIN<->MVD,MUCIN,MVD,0.6618771693411896
ARCH<->STAR,ARCH,STAR,0.661797104449525
AFP<->MHC,AFP,MHC,0.661738287496012
GAL<->MYC,GAL,MYC,0.6610253044509456
MVD<->TH,MVD,TH,0.6609549388660334
HR<->REL,HR,REL,0.659141677947545
INA<->PTH,INA,PTH,0.6589141316991587
EBP<->STAR,EBP,STAR,0.6577063239072015
PRL<->RHO,PRL,RHO,0.656594733901421
HD<->HLA,HD,HLA,0.6556058757721774
PDF<->STAR,PDF,STAR,0.655589917877152
EGFR<->KERATIN,EGFR,KERATIN,0.655431932894675
HD<->PR,HD,PR,0.6551720840675448
KERATIN<->KIT,KERATIN,KIT,0.6548515104212324
FH<->STAR,FH,STAR,0.6544320697380899
BAK<->EBP,BAK,EBP,0.6534075462771246
MYC<->S,MYC,S,0.6522414304613013
MVD<->S,MVD,S,0.652059512859727
APC<->HGF,APC,HGF,0.6518485437703498
KIT<->PRL,KIT,PRL,0.6518326613266473
POLI<->RELA,POLI,RELA,0.651760960308769
GA<->MHC,GA,MHC,0.651660893825807
AFM<->APC,AFM,APC,0.6500278117163413
PROC<->RIG,PROC,RIG,0.6499499497485471
MAF<->SCT,MAF,SCT,0.6496267151491302
GRP<->MSC,GRP,MSC,0.6464086790042951
BAK<->RIG,BAK,RIG,0.6461184250930115
KIT<->PILOT,KIT,PILOT,0.6444811710273441
CAST<->FH,CAST,FH,0.644441395113582
ACT<->CELL,ACT,CELL,0.6443152823219261
ARCH<->REN,ARCH,REN,0.6441336783989685
CRH<->JUN,CRH,JUN,0.6440469842401924
EGFR<->PILOT,EGFR,PILOT,0.6438688676730111
CAST<->STAR,CAST,STAR,0.6435747351850082
CP<->WHITE,CP,WHITE,0.6421019848201017
BAK<->STAR,BAK,STAR,0.6415596592444026
ABO<->CF,ABO,CF,0.6410235840434899
EGF<->MAF,EGF,MAF,0.6408281039158474
COIL<->EMB,COIL,EMB,0.6406809684089415
LAT<->PRL,LAT,PRL,0.6402200530296649
ABO<->PDF,ABO,PDF,0.6389542220644641
AFM<->ZA,AFM,ZA,0.6389291287680917
CAST<->ERG,CAST,ERG,0.6386705444997766
KERATIN<->RD,KERATIN,RD,0.6384824624571527
CELL<->TG,CELL,TG,0.638452394165067
CELL<->ER,CELL,ER,0.638420229868547
MYC<->PC,MYC,PC,0.6383539454464746
BAK<->SI,BAK,SI,0.6376544402306664
BAK<->LPO,BAK,LPO,0.6374171729960022
PDC<->VEGF,PDC,VEGF,0.6371737735345131
KERATIN<->VEGF,KERATIN,VEGF,0.6369927562495284
ABO<->REN,ABO,REN,0.6356925064032843
HAL<->HGF,HAL,HGF,0.6356797661355018
KERATIN<->SCT,KERATIN,SCT,0.6350391064527083
BAK<->RELA,BAK,RELA,0.6319328593420971
AID<->ALPP,AID,ALPP,0.631335746867326
END<->SET,END,SET,0.6297091304437216
CREM<->NRF,CREM,NRF,0.6294673458844474
MUT<->SCT,MUT,SCT,0.6289871275212303
APC<->CAT,APC,CAT,0.6284866092447001
DDC<->JUN,DDC,JUN,0.62846844390808
KIT<->VEGF,KIT,VEGF,0.628381143939206
ARCH<->NRF,ARCH,NRF,0.6278824402836161
CP<->MB,CP,MB,0.6278781117121867
GA<->S,GA,S,0.6276782629959866
ABO<->SI,ABO,SI,0.6274271418988001
ALPP<->DF,ALPP,DF,0.626413578737438
PDC<->TFAM,PDC,TFAM,0.6261047687342166
PROC<->PTH,PROC,PTH,0.6246571140674019
NET<->PRL,NET,PRL,0.6233480871939227
ABO<->NRF,ABO,NRF,0.6224397753332895
CP<->S,CP,S,0.6213808227610647
MHC<->MYC,MHC,MYC,0.6200831113509367
AFP<->HGF,AFP,HGF,0.6198984334325601
BAD<->HLA,BAD,HLA,0.6198309828267676
CP<->MUCIN,CP,MUCIN,0.619752159200508
CP<->DF,CP,DF,0.6195499632269429
CELL<->PRO,CELL,PRO,0.6194241887053127
HDC<->HLA,HDC,HLA,0.6189585204746114
GTT<->MYC,GTT,MYC,0.6184719811884692
AE<->LAT,AE,LAT,0.6177829990610925
SI<->TYR,SI,TYR,0.6171771167793337
ALPP<->MET,ALPP,MET,0.6170559807522562
INA<->TYR,INA,TYR,0.6160718596566581
GC<->TG,GC,TG,0.6155067200723553
MAX<->ZA,MAX,ZA,0.614698380688726
MUCIN<->S,MUCIN,S,0.6146878085285681
AID<->MET,AID,MET,0.613945379594922
ARCH<->FH,ARCH,FH,0.6137986500017969
CREM<->REN,CREM,REN,0.6121751014100225
AID<->HAL,AID,HAL,0.6120869601220021
CRH<->EGF,CRH,EGF,0.6116534309934387
POL<->S,POL,S,0.6102197779914742
MB<->MVD,MB,MVD,0.6094315527213081
HLA<->LDLR,HLA,LDLR,0.608842983072966
AFP<->APC,AFP,APC,0.6085635379263252
REL<->SET,REL,SET,0.6069721174206022
IMPACT<->REL,IMPACT,REL,0.6068109192068091
ADO<->POL,ADO,POL,0.6065273620889073
CP<->HAL,CP,HAL,0.6042455007217501
COIL<->KERATIN,COIL,KERATIN,0.6034261196084788
NRF<->PDF,NRF,PDF,0.6032829017289432
IMPACT<->WHITE,IMPACT,WHITE,0.6026738756660814
PDF<->POLI,PDF,POLI,0.6022773668703564
COIL<->VEGF,COIL,VEGF,0.6003476383548841
CAST<->INA,CAST,INA,0.6003430797738788
GC<->HGF,GC,HGF,0.6001256649244258
JUN<->SA,JUN,SA,0.5998498815318732
AID<->DF,AID,DF,0.5991535012306821
GC<->POL,GC,POL,0.5991523001166048
MB<->S,MB,S,0.5991433780473377
ERG<->PROC,ERG,PROC,0.5989105419018901
PROC<->RELA,PROC,RELA,0.5988354126394376
CAST<->RIG,CAST,RIG,0.598048123562327
AE<->LDLR,AE,LDLR,0.5971647489122607
EMB<->NET,EMB,NET,0.5968247861374306
MUCIN<->ZA,MUCIN,ZA,0.5967003660440839
PILOT<->VEGF,PILOT,VEGF,0.5960902505377436
PILOT<->SCT,PILOT,SCT,0.595591925834829
AFM<->MHC,AFM,MHC,0.595478119767087
ALPP<->WHITE,ALPP,WHITE,0.5937427922488533
BLM<->PRL,BLM,PRL,0.5937078277308907
EBP<->INA,EBP,INA,0.5933546685978716
FAP<->HD,FAP,HD,0.5929606894170114
AID<->S,AID,S,0.592887088105485
ET<->MVD,ET,MVD,0.5922982484059907
CAST<->PDF,CAST,PDF,0.5913836251650271
ABO<->POLI,ABO,POLI,0.5909659770999507
CEL<->LDLR,CEL,LDLR,0.5908103704962009
JUN<->TFAM,JUN,TFAM,0.5907693440836254
SI<->STAR,SI,STAR,0.590419544212706
HAL<->MVD,HAL,MVD,0.5901644335627741
DF<->DO,DF,DO,0.5899575541806249
ALPP<->ET,ALPP,ET,0.5892295591463501
AFM<->LDLR,AFM,LDLR,0.5891446286277715
DF<->MVD,DF,MVD,0.5884040842835158
SCT<->VEGF,SCT,VEGF,0.5883390047227692
MYC<->ZA,MYC,ZA,0.5883225661143096
RIG<->TYR,RIG,TYR,0.5858764109450268
BAD<->HAL,BAD,HAL,0.5855983147215111
AE<->ZA,AE,ZA,0.5853883640292297
GC<->S,GC,S,0.5840896398556255
CREM<->INA,CREM,INA,0.583299393677499
MUCIN<->MYC,MUCIN,MYC,0.583082415200931
AFM<->S,AFM,S,0.5829820705444356
GA<->MB,GA,MB,0.5821797156605661
APC<->GA,APC,GA,0.5814799335620755
HAL<->MET,HAL,MET,0.5813603624243274
RAN<->STAR,RAN,STAR,0.5813171695348993
MUT<->VEGF,MUT,VEGF,0.5804066878404687
BAK<->PTH,BAK,PTH,0.5800664794223132
PDF<->REN,PDF,REN,0.5797598622054301
AFP<->CAT,AFP,CAT,0.5765802540785678
MHC<->PRO,MHC,PRO,0.5764190213136066
LAT<->VEGF,LAT,VEGF,0.5764169828729674
MUT<->TFAM,MUT,TFAM,0.5750294401492386
AR<->KIT,AR,KIT,0.573579104026839
ADO<->CELL,ADO,CELL,0.5733297421882653
HGF<->MET,HGF,MET,0.5727661203847227
AID<->FAP,AID,FAP,0.5725777190839408
ACT<->GC,ACT,GC,0.5723317291909688
MB<->WHITE,MB,WHITE,0.5718380214843148
CEL<->EMB,CEL,EMB,0.5714242933416517
BAK<->PTEN,BAK,PTEN,0.5714048297388639
CAT<->GA,CAT,GA,0.5712027773810125
ER<->MHC,ER,MHC,0.5710055097472412
BAK<->ERG,BAK,ERG,0.5693730977867962
EGFR<->HD,EGFR,HD,0.568651267788289
MVD<->WHITE,MVD,WHITE,0.5675371851605311
APC<->HAL,APC,HAL,0.5652169334015625
APC<->GC,APC,GC,0.5647695734702742
CEL<->ZA,CEL,ZA,0.5641359984950339
EGF<->PTER,EGF,PTER,0.5640187749022995
AFM<->MUCIN,AFM,MUCIN,0.5635420518884231
PDC<->SA,PDC,SA,0.5631649263913775
COIL<->PILOT,COIL,PILOT,0.5626073805798295
ADO<->GA,ADO,GA,0.5624625777266742
AE<->EGFR,AE,EGFR,0.5620928962477624
PDC<->REST,PDC,REST,0.5618847011109273
ABO<->LPO,ABO,LPO,0.5614593205439972
ABO<->RIG,ABO,RIG,0.5607874304406354
MET<->PC,MET,PC,0.5601813410672931
ASS<->UNKNOWN,ASS,UNKNOWN,0.5593177124647497
CAST<->PTEN,CAST,PTEN,0.5591742518660612
ABO<->ERG,ABO,ERG,0.5570651795651347
GTT<->MAX,GTT,MAX,0.5565696754405268
ALPP<->MUCIN,ALPP,MUCIN,0.5562182394967632
CEL<->VEGF,CEL,VEGF,0.5551058101523767
PROC<->PTEN,PROC,PTEN,0.5551038019197966
BLM<->HGF,BLM,HGF,0.5542646409882719
CAT<->HGF,CAT,HGF,0.5542408097270627
ABO<->ARCH,ABO,ARCH,0.5533028406627947
AR<->SCT,AR,SCT,0.5519491487281959
BLM<->POL,BLM,POL,0.5519309587983013
HAL<->MB,HAL,MB,0.5517580587805787
END<->REL,END,REL,0.5513796152868103
EMB<->MAX,EMB,MAX,0.5510449141702086
ET<->LDLR,ET,LDLR,0.5507712882544937
CF<->PROC,CF,PROC,0.5504664942274666
LDLR<->MYC,LDLR,MYC,0.5487692708104704
BAD<->HDC,BAD,HDC,0.5485090972023827
BAD<->TH,BAD,TH,0.5481345129772607
KERATIN<->LAT,KERATIN,LAT,0.5466490256699961
AFP<->AID,AFP,AID,0.5466390354136931
RELA<->TYR,RELA,TYR,0.5465577170830018
GAL<->MAX,GAL,MAX,0.5458479548130571
DO<->TH,DO,TH,0.5451085938128709
CAST<->RELA,CAST,RELA,0.5438165675118025
MUT<->SA,MUT,SA,0.5437069680784077
ALPP<->HD,ALPP,HD,0.5434000137899461
EGFR<->SCT,EGFR,SCT,0.5430665795548223
APC<->BLM,APC,BLM,0.5429485602917774
KIT<->LDLR,KIT,LDLR,0.541066553878219
LAT<->LDLR,LAT,LDLR,0.5397971506740369
MAX<->PC,MAX,PC,0.5397444953470605
AFP<->MVD,AFP,MVD,0.5387538780726487
MAF<->TFAM,MAF,TFAM,0.5373900306721412
LAT<->PILOT,LAT,PILOT,0.5368669070291698
HDC<->MVD,HDC,MVD,0.536270374354539
HLA<->PRL,HLA,PRL,0.5361795512164823
CP<->HDC,CP,HDC,0.5360511128874119
FAP<->PR,FAP,PR,0.5360486232991308
RIG<->STAR,RIG,STAR,0.5359407857453709
GTT<->MET,GTT,MET,0.5350222093958312
HDC<->MET,HDC,MET,0.5341004939072082
CF<->STAR,CF,STAR,0.5339238940555735
SET<->WHITE,SET,WHITE,0.5320013129307515
BAD<->MB,BAD,MB,0.5308554557939587
ALPP<->HLA,ALPP,HLA,0.530808467776694
HGF<->TAT,HGF,TAT,0.5307259184062799
AE<->GTT,AE,GTT,0.5303982674148583
END<->IMPACT,END,IMPACT,0.5289517862745996
