,e1,e2,intensity
APP<->SPOP,APP,SPOP,0.8956892895016003
PRL<->SRM,PRL,SRM,0.8955463199557009
SA<->STRAP,SA,STRAP,0.895275493493961
HLA<->MHC,HLA,MHC,0.89508280650135
CPE<->IGH,CPE,IGH,0.8946382019615141
CLOCK<->DBT,CLOCK,DBT,0.8942811537333457
ORF<->TTK,ORF,TTK,0.8942404048087665
NGF<->PRO,NGF,PRO,0.8928790384767666
AFP<->EPO,AFP,EPO,0.8928047580851308
ATRX<->SUFU,ATRX,SUFU,0.8918642959239739
EPO<->HEEL,EPO,HEEL,0.89151033150747
DAP<->UCN,DAP,UCN,0.8914465030244875
NANOG<->UCN,NANOG,UCN,0.8907722555096259
ABAT<->PRL,ABAT,PRL,0.8906790850325458
DAP<->HCR,DAP,HCR,0.8900068674119499
CPE<->HTERT,CPE,HTERT,0.8857733428382238
EMD<->PAH,EMD,PAH,0.8853071527288533
CAST<->VH,CAST,VH,0.8847976726274035
TIE<->VH,TIE,VH,0.8847511007522029
HAT<->TCR,HAT,TCR,0.8845924718893512
APP<->IGH,APP,IGH,0.8845561226506973
APP<->HTERT,APP,HTERT,0.8845022488208177
ATM<->XK,ATM,XK,0.8842063073861613
SON<->STRAP,SON,STRAP,0.8830629097747732
CAST<->PTEN,CAST,PTEN,0.8817978964309837
EPO<->MLL,EPO,MLL,0.8816871511903699
BRAF<->CISH,BRAF,CISH,0.8815614984727002
GCA<->LUM,GCA,LUM,0.8804047843926239
APP<->NANOG,APP,NANOG,0.8802812118693485
AE<->CAD,AE,CAD,0.87863605179611
TIE<->TRH,TIE,TRH,0.8785059634218582
NGFR<->PAH,NGFR,PAH,0.8777227354092878
LUM<->SCT,LUM,SCT,0.8770722729405447
TRE<->TYR,TRE,TYR,0.8767201711672497
HTERT<->ORF,HTERT,ORF,0.8765715616007975
PAM<->PKM,PAM,PKM,0.8759994738524405
CLOCK<->XK,CLOCK,XK,0.8756274985479714
PAM<->SRC,PAM,SRC,0.875046543986652
INSC<->MIP,INSC,MIP,0.8741942034422426
CF<->IGM,CF,IGM,0.8741915002364423
CPE<->RHOA,CPE,RHOA,0.8736125280332621
TANK<->UCN,TANK,UCN,0.8725016899875481
BF<->TIE,BF,TIE,0.8704623392350175
BF<->CPM,BF,CPM,0.8701223886554025
AFP<->POLI,AFP,POLI,0.869614008727857
PREB<->STAR,PREB,STAR,0.8692549446958228
CROP<->EPO,CROP,EPO,0.8683794632842706
ABAT<->CROP,ABAT,CROP,0.8677461137119864
ORF<->SPOP,ORF,SPOP,0.8666875023317819
PVR<->TYR,PVR,TYR,0.8660894042342892
GCA<->GGT,GCA,GGT,0.8653730120998308
PALM<->POLE,PALM,POLE,0.8650293801917334
HGF<->POLI,HGF,POLI,0.8649485126089987
IGH<->POLE,IGH,POLE,0.8647788258337613
ABAT<->MYB,ABAT,MYB,0.8644497777304359
OAT<->PURG,OAT,PURG,0.863690993406787
APP<->HCR,APP,HCR,0.8636749399841426
OAT<->XK,OAT,XK,0.8635915038195667
HTERT<->IGH,HTERT,IGH,0.8631986185475379
KY<->LIFR,KY,LIFR,0.8627601324937094
ARNT<->BRAF,ARNT,BRAF,0.8624708576682181
CROP<->SRM,CROP,SRM,0.8622137427253905
GGT<->SCT,GGT,SCT,0.8621974881652947
BAX<->PAH,BAX,PAH,0.8617776770196284
LUM<->RET,LUM,RET,0.8614495044970836
BAK<->CAST,BAK,CAST,0.8608357853961139
ARNT<->HCR,ARNT,HCR,0.8606169788622441
HLA<->PC,HLA,PC,0.8597395437848614
PVR<->TRE,PVR,TRE,0.8596131350826809
RHOA<->SPOP,RHOA,SPOP,0.8592119677825694
ER<->RHO,ER,RHO,0.8588816155544171
AGA<->KY,AGA,KY,0.8579342505848713
EGF<->HK,EGF,HK,0.8577458695032905
ACT<->EGF,ACT,EGF,0.8573710426736331
EPO<->PURG,EPO,PURG,0.8565141886647869
HTERT<->PALM,HTERT,PALM,0.8563195384070711
ATM<->SPOP,ATM,SPOP,0.8561301908894298
GCA<->RET,GCA,RET,0.8560120911169194
IGM<->TYR,IGM,TYR,0.8558237600755638
ARNT<->NANOG,ARNT,NANOG,0.8557360792632657
PAP<->SON,PAP,SON,0.8555003128885585
AFP<->CROP,AFP,CROP,0.8548762127117459
LIFR<->POLI,LIFR,POLI,0.8547858514256224
ATM<->YWHAE,ATM,YWHAE,0.8545375604531623
BRAF<->RHOA,BRAF,RHOA,0.8540969474727084
CISH<->LRP,CISH,LRP,0.8539211392839293
PALM<->SPOP,PALM,SPOP,0.8535237109250756
BAK<->KERATIN,BAK,KERATIN,0.8534486271365931
GCA<->HEEL,GCA,HEEL,0.8533179081425281
APP<->ARNT,APP,ARNT,0.8526579798219097
CPE<->TANK,CPE,TANK,0.8514942113053008
APP<->ATM,APP,ATM,0.8513512221534709
IGM<->PVR,IGM,PVR,0.8512280995325033
EGF<->PRO,EGF,PRO,0.8493981860443265
HCR<->HTERT,HCR,HTERT,0.8473174496886083
JUN<->KERATIN,JUN,KERATIN,0.8466601626264866
HCR<->SPOP,HCR,SPOP,0.8456649088493831
HUD<->TERT,HUD,TERT,0.845347365801489
HEEL<->SCT,HEEL,SCT,0.8447797862019646
GC<->S,GC,S,0.8447052733884008
BRAF<->UCN,BRAF,UCN,0.8443697768052607
MBP<->VEGF,MBP,VEGF,0.8440606159208305
ATRX<->BAX,ATRX,BAX,0.8432986097033467
CF<->TYR,CF,TYR,0.8431731443129563
ABAT<->MLL,ABAT,MLL,0.8425815168591053
APP<->CISH,APP,CISH,0.8422769553870805
PALM<->YWHAE,PALM,YWHAE,0.8420041607829625
GCG<->TRH,GCG,TRH,0.841743985468309
MGMT<->TANK,MGMT,TANK,0.8415758390459417
ABAT<->NOV,ABAT,NOV,0.8415602180655478
APP<->TANK,APP,TANK,0.8414518782502423
ATM<->OAT,ATM,OAT,0.8413736704582268
HEEL<->PURG,HEEL,PURG,0.8408172087923247
EGF<->NGF,EGF,NGF,0.8406821644642751
BF<->TRH,BF,TRH,0.8404931590919664
AGA<->POLI,AGA,POLI,0.8404548422057345
CHP<->CPM,CHP,CPM,0.840124790969488
CPE<->POLE,CPE,POLE,0.8396623410838857
BF<->NAPA,BF,NAPA,0.8395552909930879
ASL<->TEC,ASL,TEC,0.8393741398452098
DAP<->IGH,DAP,IGH,0.8389309475723585
FLT<->SPIN,FLT,SPIN,0.8388778931118479
DBT<->FEV,DBT,FEV,0.8386046345742177
HTERT<->NANOG,HTERT,NANOG,0.8382296301895468
IGH<->SPOP,IGH,SPOP,0.8381396636027822
ARCH<->IGHD,ARCH,IGHD,0.8372181541445924
NANOG<->TANK,NANOG,TANK,0.8370745910864666
ASPN<->COPE,ASPN,COPE,0.8365661676923755
ATRX<->STRAP,ATRX,STRAP,0.8360490571736424
RHOA<->UCN,RHOA,UCN,0.8359911832598522
DBT<->LUM,DBT,LUM,0.8359895758729692
COIL<->PTER,COIL,PTER,0.8358631808356007
ER<->MHC,ER,MHC,0.835602107608565
RET<->SCT,RET,SCT,0.8354755502352603
IGH<->XK,IGH,XK,0.8350996264882833
NANOG<->SPOP,NANOG,SPOP,0.8344018483659095
CHP<->MBP,CHP,MBP,0.8338066951203227
ORF<->RHOA,ORF,RHOA,0.8335105276901892
ASS<->IMPACT,ASS,IMPACT,0.8318955127463753
EMD<->SUFU,EMD,SUFU,0.8315604878737665
PAH<->SUFU,PAH,SUFU,0.831426968450701
HK<->HLA,HK,HLA,0.8313289441538695
CW<->WASH,CW,WASH,0.8312918843187196
AFP<->HEEL,AFP,HEEL,0.8311789845293518
AFP<->PRL,AFP,PRL,0.8310481081030124
CAST<->KERATIN,CAST,KERATIN,0.830650211155865
BAK<->VEGF,BAK,VEGF,0.8294011000983209
GPCR<->MHC,GPCR,MHC,0.8286292083595803
S<->TERT,S,TERT,0.8282112972347572
ARNT<->DAP,ARNT,DAP,0.8280611370463787
KIT<->MSC,KIT,MSC,0.8275378003469799
GGT<->RET,GGT,RET,0.8270777085441904
TRE<->VEGF,TRE,VEGF,0.8270127466091323
LAR<->NAPA,LAR,NAPA,0.8258978988276809
MSC<->PTCH,MSC,PTCH,0.8256823605898205
HGF<->SRI,HGF,SRI,0.825662730248995
GCG<->LAR,GCG,LAR,0.8256071400719347
MYB<->SRM,MYB,SRM,0.8250232972674116
GAL<->VEGF,GAL,VEGF,0.824604523707114
HTERT<->RHOA,HTERT,RHOA,0.8244039990851002
NANOG<->POLE,NANOG,POLE,0.8238233513910932
ER<->MSC,ER,MSC,0.8237911750113401
PTCH<->SMO,PTCH,SMO,0.823756953384104
CLOCK<->IGH,CLOCK,IGH,0.823648537251084
KERATIN<->PTEN,KERATIN,PTEN,0.8232418042490113
ABAT<->LIFR,ABAT,LIFR,0.8230942486274779
NGFR<->SA,NGFR,SA,0.8229736652820759
HCR<->RHOA,HCR,RHOA,0.8224648377605082
MLL<->YWHAE,MLL,YWHAE,0.8222821371990995
HAT<->TPA,HAT,TPA,0.8221749869789178
CPE<->DAP,CPE,DAP,0.8221120987310081
EMD<->NGFR,EMD,NGFR,0.8216836223344389
DAP<->MGMT,DAP,MGMT,0.8214004938794296
ASL<->MTP,ASL,MTP,0.8209357221244589
BRAF<->TTK,BRAF,TTK,0.8205677839278419
CLOCK<->TANK,CLOCK,TANK,0.8202622576258197
HUD<->S,HUD,S,0.8193580805748272
MYB<->NOV,MYB,NOV,0.8192967146211027
EPO<->PRL,EPO,PRL,0.8189427847887732
CISH<->MTOR,CISH,MTOR,0.8179875045514419
INA<->RAGE,INA,RAGE,0.8178070455072056
PC<->REST,PC,REST,0.8177560182101745
ER<->HLA,ER,HLA,0.817185290903678
HCR<->TANK,HCR,TANK,0.8170415935123643
ATM<->BRAF,ATM,BRAF,0.8170084368769998
JUN<->PZP,JUN,PZP,0.8155066834778439
PTEN<->VEGF,PTEN,VEGF,0.81547025551009
ATRX<->PKM,ATRX,PKM,0.8152012692184358
ATM<->TTK,ATM,TTK,0.8142576469096977
BRAF<->MTOR,BRAF,MTOR,0.8141212983538875
STAR<->TYR,STAR,TYR,0.8137922954439887
DO<->HDC,DO,HDC,0.8135223386726435
BF<->CHP,BF,CHP,0.8134660060743469
GAG<->GAPD,GAG,GAPD,0.8134302766174639
AFP<->KY,AFP,KY,0.8133192095013055
ARNT<->SPOP,ARNT,SPOP,0.8126262484191934
ABAT<->EPO,ABAT,EPO,0.8125916664964196
EPO<->POLI,EPO,POLI,0.8121950914433378
HCR<->MTOR,HCR,MTOR,0.8121278575480639
SA<->SON,SA,SON,0.8115855048217578
FEV<->PURG,FEV,PURG,0.811457588541146
GAL<->PVR,GAL,PVR,0.810872527851139
KY<->PALM,KY,PALM,0.8107491862038808
GAPD<->XK,GAPD,XK,0.8104246742126288
CIC<->TG,CIC,TG,0.8100443629960504
IGH<->UCN,IGH,UCN,0.8099781463363429
ARNT<->RHOA,ARNT,RHOA,0.8099171936135701
CF<->PREB,CF,PREB,0.8093991430733882
HCR<->POLE,HCR,POLE,0.8089490722269229
CLOCK<->LRP,CLOCK,LRP,0.8086742747761941
MHC<->PTCH,MHC,PTCH,0.8086611372748871
ORF<->SRI,ORF,SRI,0.8084404142975817
DBT<->XK,DBT,XK,0.8070921702019865
AFP<->MLL,AFP,MLL,0.8065084815555982
GAL<->PREB,GAL,PREB,0.8061566751044381
BRAF<->XK,BRAF,XK,0.8051059902487792
POLE<->TTK,POLE,TTK,0.8047865494654515
GK<->SMN,GK,SMN,0.8043078218316085
LUM<->OAT,LUM,OAT,0.804170400920161
BAX<->NGFR,BAX,NGFR,0.8040945681601162
NOV<->SRM,NOV,SRM,0.8038918928054936
GCA<->MYB,GCA,MYB,0.8031863888282904
EPO<->PALM,EPO,PALM,0.8029413489680474
CCK<->TF,CCK,TF,0.8027214269164921
ABAT<->AGA,ABAT,AGA,0.8009842310798885
APP<->CLOCK,APP,CLOCK,0.8008464707605328
CLOCK<->NANOG,CLOCK,NANOG,0.8003342225233184
PTCH<->RHO,PTCH,RHO,0.7996064135408805
HEEL<->YWHAE,HEEL,YWHAE,0.7994097373133313
DTL<->PAM,DTL,PAM,0.7990871046745257
CLOCK<->GAG,CLOCK,GAG,0.798829167075025
MYB<->SCT,MYB,SCT,0.7987145263805553
POLE<->YWHAE,POLE,YWHAE,0.7981475645667894
CPM<->VEGF,CPM,VEGF,0.7978636819781558
HLA<->RHO,HLA,RHO,0.7974645172261658
CAST<->TIE,CAST,TIE,0.7974121396248893
MYB<->YWHAE,MYB,YWHAE,0.795872350943623
CHP<->VH,CHP,VH,0.7954748779590691
GGT<->YWHAE,GGT,YWHAE,0.7951232063653789
MTOR<->SPOP,MTOR,SPOP,0.7947758715644555
HEEL<->SRM,HEEL,SRM,0.7937231247661437
MIP<->NVL,MIP,NVL,0.7935314708054303
CLOCK<->DAP,CLOCK,DAP,0.79321334461975
INSC<->NVL,INSC,NVL,0.7924977494257175
GDA<->PCNA,GDA,PCNA,0.7924087943913404
OAT<->POLE,OAT,POLE,0.7914651572627253
EGF<->PC,EGF,PC,0.7912315357354381
ACT<->PRO,ACT,PRO,0.7905464191197683
GAG<->XK,GAG,XK,0.7901780169373815
CAST<->JUN,CAST,JUN,0.7899582158629415
CCK<->MSC,CCK,MSC,0.7898223586634745
BF<->CAST,BF,CAST,0.7897984596726761
GAG<->PURG,GAG,PURG,0.7897218954626242
ARNT<->IGH,ARNT,IGH,0.7882963205282233
ARCH<->TRH,ARCH,TRH,0.7882823980578576
GAG<->GGT,GAG,GGT,0.7881525046445698
NANOG<->RHOA,NANOG,RHOA,0.7881109884041151
HEEL<->RET,HEEL,RET,0.7880406999054187
SRI<->TTK,SRI,TTK,0.7878579888582181
MTOR<->NANOG,MTOR,NANOG,0.7874976363390823
BAX<->PKM,BAX,PKM,0.7872626678503968
GAL<->STAR,GAL,STAR,0.7872211507851765
NOV<->PRL,NOV,PRL,0.7867476691946366
BAX<->DTL,BAX,DTL,0.7867083883110313
XK<->YWHAE,XK,YWHAE,0.7866288514148798
PAM<->STRAP,PAM,STRAP,0.7865585844220255
MLL<->TTK,MLL,TTK,0.7860858920907687
GDA<->TG,GDA,TG,0.7860838934758535
PKM<->SUFU,PKM,SUFU,0.786064571708301
CLOCK<->MGMT,CLOCK,MGMT,0.7859433161505982
PREB<->PVR,PREB,PVR,0.785403466755688
ATRX<->PAM,ATRX,PAM,0.7848517926758117
ACT<->NGF,ACT,NGF,0.7843205712511274
CROP<->NOV,CROP,NOV,0.7842983567555041
MHC<->RHO,MHC,RHO,0.7841370184498615
NANOG<->XK,NANOG,XK,0.7838645091522729
BAX<->PAM,BAX,PAM,0.7834841497879168
AFP<->YWHAE,AFP,YWHAE,0.7834792325973792
CAST<->CPM,CAST,CPM,0.7833605406590506
FER<->MIP,FER,MIP,0.7832136607126232
HTERT<->XK,HTERT,XK,0.7831410084501205
PALM<->POLI,PALM,POLI,0.783050684256941
IGH<->TANK,IGH,TANK,0.7828364659703901
APP<->PALM,APP,PALM,0.7825174113834068
TRH<->VH,TRH,VH,0.7819549189893686
LUM<->YWHAE,LUM,YWHAE,0.781881773547905
BSG<->CS,BSG,CS,0.7812948741320811
ER<->PTCH,ER,PTCH,0.7812109683635
CISH<->CLOCK,CISH,CLOCK,0.7811908458944199
BRAF<->ORF,BRAF,ORF,0.7810495221384776
MYB<->POLI,MYB,POLI,0.7809104758960935
EPO<->OAT,EPO,OAT,0.7805898930635599
APP<->UCN,APP,UCN,0.780429324151752
AGT<->EGF,AGT,EGF,0.7801810038874559
JUN<->WIRE,JUN,WIRE,0.7799231803878192
GA<->GDA,GA,GDA,0.7792715721275313
POLI<->PRL,POLI,PRL,0.7779110542848178
INA<->RET,INA,RET,0.7774199393848081
HLA<->REST,HLA,REST,0.777370007352601
DTL<->IGM,DTL,IGM,0.7771036942302268
CHP<->NAPA,CHP,NAPA,0.7770846913369784
MMD<->RAGE,MMD,RAGE,0.7768028500929591
RHOA<->TTK,RHOA,TTK,0.7764681744378418
ARCH<->LAR,ARCH,LAR,0.7763738872014284
CPE<->TTK,CPE,TTK,0.776141487855373
CPM<->PTEN,CPM,PTEN,0.7753678800188685
LRP<->UCN,LRP,UCN,0.774867986178497
NGF<->PC,NGF,PC,0.7741771189935264
EPO<->GGT,EPO,GGT,0.7739621437922639
FER<->TEC,FER,TEC,0.7728441246066704
PZP<->SYT,PZP,SYT,0.772383214656495
NGFR<->PAP,NGFR,PAP,0.7717843276466932
HGF<->SPOP,HGF,SPOP,0.7715479571546673
DBT<->MGMT,DBT,MGMT,0.7715404325188688
MYB<->PURG,MYB,PURG,0.7713410564349661
LUM<->XK,LUM,XK,0.7712596695987207
HLA<->PTCH,HLA,PTCH,0.7712017116260051
EGF<->MHC,EGF,MHC,0.770647640634289
AGT<->PRO,AGT,PRO,0.7705804323724944
HAT<->WASH,HAT,WASH,0.7701859172380267
MAX<->PROLACTIN,MAX,PROLACTIN,0.769509079285933
COIL<->MIP,COIL,MIP,0.7695002411808948
LIFR<->SRI,LIFR,SRI,0.7693306223953725
CROP<->POLI,CROP,POLI,0.7692535469719609
CBL<->PML,CBL,PML,0.7689581229445794
FEV<->GCA,FEV,GCA,0.7686132082301556
IGM<->SRC,IGM,SRC,0.7685538917043765
BID<->TEC,BID,TEC,0.768360749546503
FER<->MTP,FER,MTP,0.7678870558477686
AR<->SMN,AR,SMN,0.7677643585952012
HUD<->MYCN,HUD,MYCN,0.7675792833726794
BRAF<->TANK,BRAF,TANK,0.7672769332221138
FEV<->SCT,FEV,SCT,0.7672282726963227
AE<->LAR,AE,LAR,0.7672061233937835
EPO<->KY,EPO,KY,0.7671788150445868
LRP<->NANOG,LRP,NANOG,0.7667400422731113
AR<->GK,AR,GK,0.7667040824388162
PREB<->TRE,PREB,TRE,0.7664423537434835
IGM<->PREB,IGM,PREB,0.7662979618957794
APP<->TTK,APP,TTK,0.7659783957309694
PROLACTIN<->TG,PROLACTIN,TG,0.7659751447134766
BRAF<->DAP,BRAF,DAP,0.7653323698045449
MLL<->MYB,MLL,MYB,0.7652207903615038
CISH<->SPOP,CISH,SPOP,0.7650463824328243
BAX<->SRC,BAX,SRC,0.7649927787226625
NGF<->REST,NGF,REST,0.7643332585722425
CLOCK<->HCR,CLOCK,HCR,0.7640591672552589
COIL<->FER,COIL,FER,0.7639831723744498
MSC<->RHO,MSC,RHO,0.7634956586665042
BAK<->CPM,BAK,CPM,0.7628733349059548
MBP<->TRE,MBP,TRE,0.762847606376389
TIE<->WIRE,TIE,WIRE,0.7624886414234592
ASL<->FER,ASL,FER,0.7614274343475378
FEV<->RET,FEV,RET,0.7612976126571289
HGF<->ORF,HGF,ORF,0.761268191623173
SPOP<->UCN,SPOP,UCN,0.7599695445285701
ATM<->IGH,ATM,IGH,0.7598767160007065
GAG<->OAT,GAG,OAT,0.759283836150363
COIL<->PREB,COIL,PREB,0.7591267624189254
HK<->MHC,HK,MHC,0.7591069652655729
CISH<->RHOA,CISH,RHOA,0.7589418665022563
CLOCK<->POLE,CLOCK,POLE,0.7582765585283714
AE<->NAPA,AE,NAPA,0.758030209835696
ABAT<->HEEL,ABAT,HEEL,0.7580021826806753
CBL<->S,CBL,S,0.7578480751869752
KIT<->TF,KIT,TF,0.7559215149667454
ACT<->HLA,ACT,HLA,0.7559105977312797
ATRX<->SRC,ATRX,SRC,0.7553973158821655
NVL<->RIG,NVL,RIG,0.7552443568828563
AFP<->LIFR,AFP,LIFR,0.7550731036824018
HLA<->NGF,HLA,NGF,0.7543084242166674
HCR<->XK,HCR,XK,0.7542670184961225
SPOP<->XK,SPOP,XK,0.754216660065063
PTC<->REST,PTC,REST,0.7540553147291218
SHH<->SST,SHH,SST,0.7531851315582211
MSC<->SMO,MSC,SMO,0.7531704309191668
IGM<->TRE,IGM,TRE,0.752908278920724
HGF<->LIFR,HGF,LIFR,0.752259755976545
ARNT<->HTERT,ARNT,HTERT,0.7522062131337828
TG<->WASH,TG,WASH,0.7519222322265913
GAG<->GCA,GAG,GCA,0.7518385812519104
SCT<->XK,SCT,XK,0.7517778701351009
GC<->HAT,GC,HAT,0.7514115922601113
DTL<->SUFU,DTL,SUFU,0.7512325610072432
CF<->STAR,CF,STAR,0.7510777513921402
HCR<->LRP,HCR,LRP,0.749763373321134
PCNA<->TNF,PCNA,TNF,0.7490560761727149
PTEN<->VH,PTEN,VH,0.7481642994173042
AE<->CHP,AE,CHP,0.7473587534373554
MIP<->SON,MIP,SON,0.7473150896769737
MYCN<->TERT,MYCN,TERT,0.7468204440728065
AGT<->HK,AGT,HK,0.7464146776115033
MBP<->STAR,MBP,STAR,0.7463700524744842
CISH<->HTERT,CISH,HTERT,0.7457006717539064
PAM<->SUFU,PAM,SUFU,0.7452121094979868
CAD<->LAR,CAD,LAR,0.7450807904628237
PALM<->SRI,PALM,SRI,0.7448833662914979
CPE<->XK,CPE,XK,0.7445254091699908
GPCR<->HLA,GPCR,HLA,0.7444744108594028
BAD<->MVD,BAD,MVD,0.7444555950969177
CPM<->GAL,CPM,GAL,0.7442546008676727
ARNT<->LRP,ARNT,LRP,0.7434260930163236
IGH<->RHOA,IGH,RHOA,0.7433013599914228
GAG<->SCT,GAG,SCT,0.7431926798214771
AGA<->HGF,AGA,HGF,0.7426637269390733
KY<->TTK,KY,TTK,0.7424844592595259
BRAF<->PALM,BRAF,PALM,0.7423573112155066
ORF<->PALM,ORF,PALM,0.7420637014339344
HAT<->HUD,HAT,HUD,0.7416478182895099
MBP<->TYR,MBP,TYR,0.741621964082231
HLA<->PRO,HLA,PRO,0.7416107598989614
